team,season,Treat,Post,Treat_Post,Team_Value,Revenue,Operating_Income,OI_Margin_Pct,Player_Expenses_External,Player_Exp_Pct,Win_Player_Cost_Ratio,Seating_Capacity,Avg_Ticket_Price
BOS,2017,0,0,0,2700000000,434000000,79000000,0.18,205000000,0.47,79,,
BOS,2018,0,0,0,2800000000,453000000,86000000,0.19,209000000,0.46,81,,
BOS,2019,0,0,0,3200000000,516000000,84000000,0.16,247000000,0.48,94,,
BOS,2020,0,0,0,3300000000,519000000,89000000,0.17,246000000,0.47,61,,
BOS,2021,0,0,0,3500000000,152000000,-70000000,-0.46,95000000,0.63,53,,
BOS,2022,0,0,0,3900000000,479000000,69000000,0.14,210000000,0.44,85,,
BOS,2023,0,0,0,4500000000,513000000,72000000,0.14,242000000,0.47,60,,
BOS,2024,0,1,0,4500000000,500000000,62000000,0.12,224000000,0.45,70,,
BOS,2025,0,1,0,4800000000,574000000,120000000,0.21,237000000,0.41,83,,
BOS,2026,0,1,0,5300000000,567000000,78000000,0.14,238000000,0.42,86,,
CHC,2017,0,0,0,2700000000,434000000,84000000,0.19,189000000,0.44,115,,
CHC,2018,0,0,0,2900000000,457000000,102000000,0.22,186000000,0.41,95,,
CHC,2019,0,0,0,3100000000,452000000,87000000,0.19,195000000,0.43,87,,
CHC,2020,0,0,0,3200000000,471000000,68000000,0.14,228000000,0.48,66,,
CHC,2021,0,0,0,3400000000,163000000,-73000000,-0.45,100000000,0.61,71,,
CHC,2022,0,0,0,3800000000,425000000,68000000,0.16,172000000,0.4,68,,
CHC,2023,0,0,0,4100000000,451000000,57000000,0.13,174000000,0.39,79,,
CHC,2024,0,1,0,4200000000,506000000,68000000,0.13,216000000,0.43,78,,
CHC,2025,0,1,0,4600000000,584000000,81000000,0.14,272000000,0.47,74,,
CHC,2026,0,1,0,5000000000,599000000,58000000,0.1,240000000,0.4,94,,
LAD,2017,1,0,0,2800000000,462000000,21000000,0.05,275000000,0.6,64,56000.0,64.0
LAD,2018,1,0,0,3000000000,522000000,68000000,0.13,261000000,0.5,84,56000.0,64.0
LAD,2019,1,0,0,3300000000,549000000,95000000,0.17,208000000,0.38,93,56000.0,64.0
LAD,2020,1,0,0,3400000000,556000000,96000000,0.17,217000000,0.39,91,56000.0,64.0
LAD,2021,1,0,0,3600000000,185000000,116000000,0.63,121000000,0.65,119,56000.0,64.0
LAD,2022,1,0,0,4100000000,565000000,-7900000,-0.01,288000000,0.51,68,56000.0,64.0
LAD,2023,1,0,0,4800000000,581000000,14000000,0.02,269000000,0.46,78,56000.0,64.0
LAD,2024,1,1,1,5500000000,549000000,26000000,0.05,228000000,0.42,89,56000.0,64.0
LAD,2025,1,1,1,6800000000,752000000,21000000,0.03,349000000,0.46,84,56000.0,64.0
LAD,2026,1,1,1,7800000000,850000000,-20000000,-0.02,402000000,0.47,64,56000.0,64.0
NYM,2017,0,0,0,2000000000,332000000,32000000,0.1,156000000,0.47,97,,
NYM,2018,0,0,0,2100000000,336000000,17000000,0.05,171000000,0.51,73,,
NYM,2019,0,0,0,2300000000,340000000,30000000,0.09,159000000,0.47,87,,
NYM,2020,0,0,0,2400000000,362000000,7000000,0.02,171000000,0.47,90,,
NYM,2021,0,0,0,2500000000,107000000,-125000000,-1.17,96000000,0.9,57,,
NYM,2022,0,0,0,2700000000,302000000,-96000000,-0.32,215000000,0.71,59,,
NYM,2023,0,0,0,2900000000,374000000,-138000000,-0.37,288000000,0.77,67,,
NYM,2024,0,1,0,3000000000,393000000,-292000000,-0.74,374000000,0.95,41,,
NYM,2025,0,1,0,3200000000,444000000,-268000000,-0.6,350000000,0.79,72,,
NYM,2026,0,1,0,3500000000,553000000,-213000000,-0.39,409000000,0.74,46,,
NYY,2017,0,0,0,3700000000,526000000,39000000,0.07,241000000,0.46,60,,
NYY,2018,0,0,0,4000000000,619000000,14000000,0.02,220000000,0.36,84,,
NYY,2019,0,0,0,4600000000,668000000,29000000,0.04,193000000,0.29,97,,
NYY,2020,0,0,0,5000000000,683000000,35000000,0.05,220000000,0.32,92,,
NYY,2021,0,0,0,5300000000,108000000,-190000000,-1.76,122000000,1.13,70,,
NYY,2022,0,0,0,6000000000,482000000,-40000000,-0.08,223000000,0.46,68,,
NYY,2023,0,0,0,7100000000,657000000,16000000,0.02,262000000,0.4,75,,
NYY,2024,0,1,0,7600000000,679000000,2100000,0.0,291000000,0.43,57,,
NYY,2025,0,1,0,8200000000,728000000,-57000000,-0.08,354000000,0.49,75,,
NYY,2026,0,1,0,8500000000,710000000,-53000000,-0.07,332000000,0.47,68,,
SFG,2017,0,0,0,2700000000,428000000,78000000,0.18,193000000,0.45,82,,
SFG,2018,0,0,0,2900000000,445000000,84000000,0.19,198000000,0.44,57,,
SFG,2019,0,0,0,3000000000,462000000,84000000,0.18,219000000,0.47,60,,
SFG,2020,0,0,0,3100000000,452000000,96000000,0.21,192000000,0.42,72,,
SFG,2021,0,0,0,3200000000,151000000,-64000000,-0.42,89000000,0.59,68,,
SFG,2022,0,0,0,3500000000,384000000,32000000,0.08,191000000,0.5,96,,
SFG,2023,0,0,0,3700000000,421000000,75000000,0.18,179000000,0.43,85,,
SFG,2024,0,1,0,3800000000,443000000,50000000,0.11,221000000,0.5,72,,
SFG,2025,0,1,0,4000000000,448000000,-24000000,-0.05,266000000,0.59,73,,
SFG,2026,0,1,0,4100000000,477000000,54000000,0.11,209000000,0.44,87,,
