?•ê·œ?œì¦Œ,Season,Team,TG,W,L,SV,G,GS,IP,K/9,"BB/9
BB/9 - Walks per 9 Innings ((BB*9)/IP)",HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
1,2021,LAD,162,106,56,56,762,162,1452,9.91,3.01,1,0.26,76.50%,44.50%,11.80%,94.1,3.03,3.31,3.54,3.75,27.5
2,2019,LAD,162,106,56,44,707,162,1445.2,9.46,2.44,1.15,0.271,74.70%,44.90%,14.10%,93.5,3.39,3.46,3.73,3.87,25.4
3,2022,LAD,162,111,51,43,725,162,1451.1,9.08,2.52,0.94,0.255,78.30%,42.50%,9.80%,93.2,2.8,3.15,3.45,3.67,25.1
4,2017,LAD,162,104,58,51,698,162,1444.2,9.65,2.75,1.15,0.281,77.80%,42.70%,13.40%,93.1,3.38,3.43,3.67,3.7,21.7
5,2025,LAD,162,93,69,46,743,162,1441,9.4,3.52,1.09,0.285,73.20%,41.70%,11.70%,94.5,3.95,3.83,3.93,3.96,20.8
6,2018,LAD,163,92,71,48,756,163,1476,9.54,2.57,1.09,0.284,76.20%,44.90%,13.40%,92.6,3.4,3.37,3.6,3.52,19
7,2023,LAD,162,100,62,44,713,162,1446.1,8.64,2.83,1.24,0.278,72.60%,42.30%,13.00%,94.1,4.06,4.05,4.23,4.19,17.9
8,2024,LAD,162,98,64,50,727,162,1445.2,8.65,3.12,1.23,0.275,73.70%,40.70%,12.30%,94.6,3.92,4.06,4.18,4.08,15.6
9,2026,LAD,71,45,26,16,292,71,625.1,9.08,2.84,1.02,0.256,77.10%,42.60%,10.80%,95.3,3.32,3.54,3.64,3.7,11.3
10,2020,LAD,60,43,17,15,309,60,538.2,8.64,2.42,1.1,0.252,75.80%,46.30%,13.20%,94.4,3.02,3.55,3.79,3.99,8.9
,,,,,,,,,,,,,,,,,,,,,,
Æ÷½ºÆ®½ÃÁð,Team,TG,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,"HR/FB
HR/FB - Home Run to Fly Ball Ratio",vFA (pi),ERA,xERA,FIP,xFIP,WAR,
1,2025,LAD,17,13,4,5,76,17,165,9.16,3.6,0.65,0.275,76.10%,47.50%,8.60%,,3.11,3.61,3.41,3.77,
2,2020,LAD,18,13,5,6,94,18,160.2,10.81,3.19,1.18,0.282,77.10%,39.70%,13.40%,,3.42,4.03,3.61,3.79,
3,2021,LAD,12,6,6,2,71,12,105,10.89,2.4,1.11,0.287,79.20%,34.20%,11.00%,,3.17,3.57,3.25,3.62,
4,2018,LAD,16,8,8,3,90,16,152,9.71,3.08,0.95,0.264,74.90%,46.30%,11.50%,,3.49,3.37,3.46,3.6,
5,2017,LAD,15,10,5,5,81,15,135.2,8.96,2.26,1.92,0.207,87.10%,43.80%,20.70%,,3.32,3.5,4.81,3.87,
6,2019,LAD,5,2,3,0,26,5,45,8.4,4,1,0.267,73.60%,40.30%,9.80%,,4.2,5.06,4.33,5.14,
7,2022,LAD,4,1,3,1,22,4,34,11.91,3.18,1.06,0.326,75.50%,40.90%,10.80%,,3.71,3.25,3.05,3.14,
8,2024,LAD,16,11,5,5,86,16,142,7.86,4.18,1.39,0.256,76.50%,38.20%,12.20%,,4.5,5.44,5.08,5,
9,2023,LAD,3,0,3,0,17,3,26,9,3.81,3.12,0.282,78.20%,45.50%,36.00%,,6.58,7.58,7.26,4.34,
