Team,,Value,Revenue,Operating Income,,Player Expenses,,Win-To-Player Cost Ratio,Seating Capacity,Average Ticket Price
LA Dogers,2017,"2,800,000,000","462,000,000","21,000,000",5%,"275,000,000",60%,64,"56,000",64
LA Dogers,2018,"3,000,000,000","522,000,000","68,000,000",13%,"261,000,000",50%,84,"56,000",64
LA Dogers,2019,"3,300,000,000","549,000,000","95,000,000",17%,"208,000,000",38%,93,"56,000",64
LA Dogers,2020,"3,400,000,000","556,000,000","96,000,000",17%,"217,000,000",39%,91,"56,000",64
LA Dogers,2021,"3,600,000,000","185,000,000","116,000,000",63%,"121,000,000",65%,119,"56,000",64
LA Dogers,2022,"4,100,000,000","565,000,000","-7,900,000",-1%,"288,000,000",51%,68,"56,000",64
LA Dogers,2023,"4,800,000,000","581,000,000","14,000,000",2%,"269,000,000",46%,78,"56,000",64
LA Dogers,2024,"5,500,000,000","549,000,000","26,000,000",5%,"228,000,000",42%,89,"56,000",64
LA Dogers,2025,"6,800,000,000","752,000,000","21,000,000",3%,"349,000,000",46%,84,"56,000",64
LA Dogers,2026,"7,800,000,000","850,000,000","-20,000,000",-2%,"402,000,000",47%,64,"56,000",64
Yankees,2017,"3,700,000,000","526,000,000","39,000,000",7%,"241,000,000",46%,60,,
Yankees,2018,"4,000,000,000","619,000,000","14,000,000",2%,"220,000,000",36%,84,,
Yankees,2019,"4,600,000,000","668,000,000","29,000,000",4%,"193,000,000",29%,97,,
Yankees,2020,"5,000,000,000","683,000,000","35,000,000",5%,"220,000,000",32%,92,,
Yankees,2021,"5,300,000,000","108,000,000","-190,000,000",-176%,"122,000,000",113%,70,,
Yankees,2022,"6,000,000,000","482,000,000","-40,000,000",-8%,"223,000,000",46%,68,,
Yankees,2023,"7,100,000,000","657,000,000","16,000,000",2%,"262,000,000",40%,75,,
Yankees,2024,"7,600,000,000","679,000,000","2,100,000",0%,"291,000,000",43%,57,,
Yankees,2025,"8,200,000,000","728,000,000","-57,000,000",-8%,"354,000,000",49%,75,,
Yankees,2026,"8,500,000,000","710,000,000","-53,000,000",-7%,"332,000,000",47%,68,,
Boston,2017,"2,700,000,000","434,000,000","79,000,000",18%,"205,000,000",47%,79,,
Boston,2018,"2,800,000,000","453,000,000","86,000,000",19%,"209,000,000",46%,81,,
Boston,2019,"3,200,000,000","516,000,000","84,000,000",16%,"247,000,000",48%,94,,
Boston,2020,"3,300,000,000","519,000,000","89,000,000",17%,"246,000,000",47%,61,,
Boston,2021,"3,500,000,000","152,000,000","-70,000,000",-46%,"95,000,000",63%,53,,
Boston,2022,"3,900,000,000","479,000,000","69,000,000",14%,"210,000,000",44%,85,,
Boston,2023,"4,500,000,000","513,000,000","72,000,000",14%,"242,000,000",47%,60,,
Boston,2024,"4,500,000,000","500,000,000","62,000,000",12%,"224,000,000",45%,70,,
Boston,2025,"4,800,000,000","574,000,000","120,000,000",21%,"237,000,000",41%,83,,
Boston,2026,"5,300,000,000","567,000,000","78,000,000",14%,"238,000,000",42%,86,,
Metz,2017,"2,000,000,000","332,000,000","32,000,000",10%,"156,000,000",47%,97,,
Metz,2018,"2,100,000,000","336,000,000","17,000,000",5%,"171,000,000",51%,73,,
Metz,2019,"2,300,000,000","340,000,000","30,000,000",9%,"159,000,000",47%,87,,
Metz,2020,"2,400,000,000","362,000,000","7,000,000",2%,"171,000,000",47%,90,,
Metz,2021,"2,500,000,000","107,000,000","-125,000,000",-117%,"96,000,000",90%,57,,
Metz,2022,"2,700,000,000","302,000,000","-96,000,000",-32%,"215,000,000",71%,59,,
Metz,2023,"2,900,000,000","374,000,000","-138,000,000",-37%,"288,000,000",77%,67,,
Metz,2024,"3,000,000,000","393,000,000","-292,000,000",-74%,"374,000,000",95%,41,,
Metz,2025,"3,200,000,000","444,000,000","-268,000,000",-60%,"350,000,000",79%,72,,
Metz,2026,"3,500,000,000","553,000,000","-213,000,000",-39%,"409,000,000",74%,46,,
Chicago Cubs,2017,"2,700,000,000","434,000,000","84,000,000",19%,"189,000,000",44%,115,,
Chicago Cubs,2018,"2,900,000,000","457,000,000","102,000,000",22%,"186,000,000",41%,95,,
Chicago Cubs,2019,"3,100,000,000","452,000,000","87,000,000",19%,"195,000,000",43%,87,,
Chicago Cubs,2020,"3,200,000,000","471,000,000","68,000,000",14%,"228,000,000",48%,66,,
Chicago Cubs,2021,"3,400,000,000","163,000,000","-73,000,000",-45%,"100,000,000",61%,71,,
Chicago Cubs,2022,"3,800,000,000","425,000,000","68,000,000",16%,"172,000,000",40%,68,,
Chicago Cubs,2023,"4,100,000,000","451,000,000","57,000,000",13%,"174,000,000",39%,79,,
Chicago Cubs,2024,"4,200,000,000","506,000,000","68,000,000",13%,"216,000,000",43%,78,,
Chicago Cubs,2025,"4,600,000,000","584,000,000","81,000,000",14%,"272,000,000",47%,74,,
Chicago Cubs,2026,"5,000,000,000","599,000,000","58,000,000",10%,"240,000,000",40%,94,,
San Francisco Giants,2017,"2,700,000,000","428,000,000","78,000,000",18%,"193,000,000",45%,82,,
San Francisco Giants,2018,"2,900,000,000","445,000,000","84,000,000",19%,"198,000,000",44%,57,,
San Francisco Giants,2019,"3,000,000,000","462,000,000","84,000,000",18%,"219,000,000",47%,60,,
San Francisco Giants,2020,"3,100,000,000","452,000,000","96,000,000",21%,"192,000,000",42%,72,,
San Francisco Giants,2021,"3,200,000,000","151,000,000","-64,000,000",-42%,"89,000,000",59%,68,,
San Francisco Giants,2022,"3,500,000,000","384,000,000","32,000,000",8%,"191,000,000",50%,96,,
San Francisco Giants,2023,"3,700,000,000","421,000,000","75,000,000",18%,"179,000,000",43%,85,,
San Francisco Giants,2024,"3,800,000,000","443,000,000","50,000,000",11%,"221,000,000",50%,72,,
San Francisco Giants,2025,"4,000,000,000","448,000,000","-24,000,000",-5%,"266,000,000",59%,73,,
San Francisco Giants,2026,"4,100,000,000","477,000,000","54,000,000",11%,"209,000,000",44%,87,,
