season,team,active_roster_payroll,injured_list_payroll,suspended_restricted_payroll,dead_money,retained_payroll,minor_league_payroll,signing_bonus,total_adjusted_payroll,CBT_Tax_Paid,Road_Attendance,Postseason_Home_Games,Injured_Salary_Loss,Superstar_Era,Pure_Marginal_Benefit
2013,LAD,207849759,,0.0,18621666.0,3925450.0,6297500,0,236694375,11415959,35311.0,5,39784781.07,0,
2014,LAD,235457818,,0.0,3000000.0,,3700000,0,242157818,26621125,33764.0,2,17065419.41,0,
2015,LAD,202137688,20914084.0,0.0,50164195.0,18000000.0,10519113,0,301735080,43567472,34523.0,3,3582076.5,0,
2016,LAD,193881011,13288890.0,0.0,42096597.0,10556250.0,6922746,0,266745494,31775817,32834.0,5,43899498.87,0,
2017,LAD,184220291,22654516.0,0.0,34273808.0,7218848.0,10735130,0,259102593,40102198,33647.0,8,19059073.27,0,
2018,LAD,160502596,3908850.0,0.0,9216666.0,21325013.0,4628920,0,199582045,0,33197.0,8,22458887.05,0,
2019,LAD,157394622,1341835.0,555000.0,6616666.0,35356214.0,5736477,0,207000814,0,33427.0,3,18224682.1,0,
2022,LAD,225618515,28920266.0,0.0,2250000.0,3082866.0,1256241,0,264996019,32397344,31232.0,2,15589718.58,0,
2023,LAD,144170915,33764202.0,20715030.0,1000000.0,34802727.0,1294237,0,235747111,19423297,31504.0,2,6520130.16,0,
2024,LAD,198627830,37949016.0,740000.0,1100000.0,25606461.0,2616901,0,266640208,103016896,35808.0,8,9223715.85,1,
2025,LAD,265974625,48883969.0,0.0,0.0,30578312.0,4587200,0,350024106,169375769,35703.0,9,26635554.27,1,
